Device,Time,Query
Iphone,2021-01-31T04:29:55.107Z[UTC],lean
Iphone,2021-01-31T05:37:57.456Z[UTC],dajkiti
Iphone,2021-01-31T05:40:58.307Z[UTC],sola
Iphone,2021-01-31T05:43:55.636Z[UTC],lean
Iphone,2021-01-31T05:48:44.135Z[UTC],da
Iphone,2021-01-31T05:51:02.468Z[UTC],el rej
Iphone,2021-01-31T06:46:27.236Z[UTC],dajiti
Iphone,2021-01-31T07:52:40.877Z[UTC],ma
Iphone,2021-01-31T07:52:42.104Z[UTC],lady
Iphone,2021-01-31T08:11:57.553Z[UTC],lad
Iphone,2021-01-31T08:12:05.628Z[UTC],tu gui
Iphone,2021-01-31T08:12:07.793Z[UTC],mi guit
Desktop,2021-01-31T23:17:11.586Z[UTC],AC
Desktop,2021-01-31T23:17:13.977Z[UTC],SHOOT 
Iphone,2021-02-01T00:27:06.746Z[UTC],the rain fall down
Iphone,2021-02-07T02:09:57.291Z[UTC],ricard
Iphone,2021-02-07T02:28:39.038Z[UTC],bedouin
Iphone,2021-02-07T02:31:39.037Z[UTC],reggeaton
Iphone,2021-02-07T02:38:14.409Z[UTC],prrrum
Iphone,2021-02-07T02:40:18.225Z[UTC],t
Iphone,2021-02-07T02:40:20.818Z[UTC],virtual
Iphone,2021-02-07T23:25:16.074Z[UTC],nafta
Desktop,2021-02-10T19:28:14.648Z[UTC],senor kios
Desktop,2021-02-11T03:15:37.984Z[UTC],wham
Iphone,2021-02-14T05:25:22.368Z[UTC],nathy
Iphone,2021-02-14T05:29:11.511Z[UTC],bizarrap
Iphone,2021-02-14T05:29:26.081Z[UTC],trueno biz
Iphone,2021-02-14T14:05:05.658Z[UTC],tu vida
Iphone,2021-02-14T14:52:21.553Z[UTC],tu vida
Desktop,2021-02-21T04:27:18.863Z[UTC],cucu
Desktop,2021-02-21T04:27:46.278Z[UTC],i dont trust nobody
Iphone,2021-02-23T13:43:27.263Z[UTC],vaet
