Date,Artist,Track,MinPlayed
2020-03-29 21:47,Mac Miller,Dang! (feat. Anderson .Paak),5.096383333333334
2020-03-29 21:47,White Denim,Just Dropped In (To See What Condition My Condition Is In),0.06733333333333333
2020-03-29 21:52,Total Giovanni,When We Break,4.76345
2020-03-29 21:57,Glass Animals,Life Itself,0.07816666666666666
2020-03-29 21:57,Masego,Tadow,4.9581333333333335
2020-03-29 22:02,Electric Guest,Awake,5.014433333333334
2020-03-29 22:06,Will Joseph Cook,Daisy Chains,3.85445
2020-03-29 22:10,Michael Kiwanuka,Money (with Tom Misch),3.3958333333333335
2020-03-30 23:47,The Notorious B.I.G.,Just Playing (Dreams) - 2005 Remaster,2.7244333333333333
2020-03-30 23:56,Pescado Rabioso,Cantata de Puentes Amarillos,9.132666666666667
2020-03-31 00:02,Dire Straits,Sultans Of Swing,5.806666666666667
2020-03-31 00:02,Morbo y Mambo,Pomán,0.2997166666666667
2020-03-31 00:05,Sublime,Santeria,3.0526666666666666
2020-03-31 00:07,the Drumlord,Shelter Jazz,2.2857
2020-03-31 00:11,2Pac,Ghetto Gospel,3.96755
2020-03-31 00:12,The Beatles,"Hello, Goodbye - Remastered 2009",1.1219
2020-03-31 00:18,Soda Stereo,En La Ciudad De La Furia - Remasterizado 2007,5.76755
2020-03-31 00:30,The Rolling Stones,Dead Flowers - 2009 Mix,4.07555
2020-03-31 00:35,Depeche Mode,Enjoy the Silence,4.2522166666666665
2020-03-31 00:43,Guns N' Roses,Nightrain,4.4702166666666665
2020-03-31 00:44,The Rolling Stones,She's So Cold - Remastered,1.1787833333333333
2020-03-31 00:55,Queen,Bohemian Rhapsody - Remastered 2011,1.8548833333333334
2020-03-31 01:00,Mac Miller,Dang! (feat. Anderson .Paak),5.089166666666666
2020-03-31 01:03,Guns N' Roses,Don't Cry - Alternate Lyrics,2.893
2020-03-31 01:07,Queen,A Kind Of Magic - Remastered 2011,4.404216666666667
2020-03-31 01:11,Calle 13,Muerte En Hawaii,3.164433333333333
2020-03-31 01:19,Eric Clapton,Three O'Clock Blues,8.608883333333333
2020-03-31 01:22,Los Gatos,La Balsa,2.933333333333333
2020-03-31 01:26,Jorge Drexler,Quimera,3.642
2020-03-31 01:30,Usted Señalemelo,Agua Marfil,4.19755
2020-03-31 01:33,Jorge Drexler,Telefonía,3.0827166666666668
2020-03-31 01:42,Daft Punk,Giorgio by Moroder,9.0771
2020-03-31 01:45,Jimi Hendrix,Little Wing,2.4291
2020-03-31 01:49,Red Hot Chili Peppers,Monarchy of Roses,4.196666666666666
2020-03-31 01:52,The Rolling Stones,Shake Your Hips,2.9833333333333334
2020-03-31 01:56,2Pac,Dear Mama,4.4617
2020-03-31 01:56,Los Espiritus,Huracanes,0.011216666666666666
2020-03-31 01:56,Guns N' Roses,Mr. Brownstone,0.010433333333333333
2020-03-31 01:56,Bronski Beat,Smalltown Boy,0.015466666666666667
2020-03-31 01:56,Charly García,Demoliendo Hoteles,0.016633333333333333
2020-03-31 01:59,Guns N' Roses,Mr. Brownstone,0.8458166666666667
